repeat,repeat_seed,fold,algorithm,class,recall
2,43,4,RBF SVM,SEKER,0.945679012345679
2,43,4,RBF SVM,SIRA,0.8766603415559773
2,43,5,Logistic Regression,BARBUNYA,0.9242424242424242
2,43,5,Logistic Regression,BOMBAY,1.0
2,43,5,Logistic Regression,CALI,0.9447852760736196
2,43,5,Logistic Regression,DERMASON,0.9139633286318759
2,43,5,Logistic Regression,HOROZ,0.9454545454545454
2,43,5,Logistic Regression,SEKER,0.928395061728395
2,43,5,Logistic Regression,SIRA,0.8617424242424242
2,43,5,k-NN,BARBUNYA,0.9166666666666666
2,43,5,k-NN,BOMBAY,1.0
2,43,5,k-NN,CALI,0.9478527607361963
2,43,5,k-NN,DERMASON,0.923836389280677
2,43,5,k-NN,HOROZ,0.9428571428571428
2,43,5,k-NN,SEKER,0.9160493827160494
2,43,5,k-NN,SIRA,0.8693181818181818
2,43,5,Decision Tree,BARBUNYA,0.9015151515151515
2,43,5,Decision Tree,BOMBAY,0.9904761904761905
2,43,5,Decision Tree,CALI,0.8926380368098159
2,43,5,Decision Tree,DERMASON,0.9083215796897038
2,43,5,Decision Tree,HOROZ,0.9272727272727272
2,43,5,Decision Tree,SEKER,0.9160493827160494
2,43,5,Decision Tree,SIRA,0.8579545454545454
2,43,5,RBF SVM,BARBUNYA,0.9242424242424242
2,43,5,RBF SVM,BOMBAY,1.0
2,43,5,RBF SVM,CALI,0.950920245398773
2,43,5,RBF SVM,DERMASON,0.9351198871650211
2,43,5,RBF SVM,HOROZ,0.9402597402597402
2,43,5,RBF SVM,SEKER,0.9358024691358025
2,43,5,RBF SVM,SIRA,0.8693181818181818
3,44,1,Logistic Regression,BARBUNYA,0.8939393939393939
3,44,1,Logistic Regression,BOMBAY,1.0
3,44,1,Logistic Regression,CALI,0.950920245398773
3,44,1,Logistic Regression,DERMASON,0.9225352112676056
3,44,1,Logistic Regression,HOROZ,0.9532467532467532
3,44,1,Logistic Regression,SEKER,0.9458128078817734
3,44,1,Logistic Regression,SIRA,0.8804554079696395
3,44,1,k-NN,BARBUNYA,0.875
3,44,1,k-NN,BOMBAY,1.0
3,44,1,k-NN,CALI,0.950920245398773
3,44,1,k-NN,DERMASON,0.923943661971831
3,44,1,k-NN,HOROZ,0.9506493506493506
3,44,1,k-NN,SEKER,0.9532019704433498
3,44,1,k-NN,SIRA,0.8937381404174574
3,44,1,Decision Tree,BARBUNYA,0.8674242424242424
3,44,1,Decision Tree,BOMBAY,1.0
3,44,1,Decision Tree,CALI,0.9386503067484663
3,44,1,Decision Tree,DERMASON,0.9070422535211268
3,44,1,Decision Tree,HOROZ,0.9116883116883117
3,44,1,Decision Tree,SEKER,0.9310344827586207
3,44,1,Decision Tree,SIRA,0.8633776091081594
3,44,1,RBF SVM,BARBUNYA,0.9053030303030303
3,44,1,RBF SVM,BOMBAY,1.0
3,44,1,RBF SVM,CALI,0.9478527607361963
3,44,1,RBF SVM,DERMASON,0.9352112676056338
3,44,1,RBF SVM,HOROZ,0.9506493506493506
3,44,1,RBF SVM,SEKER,0.958128078817734
3,44,1,RBF SVM,SIRA,0.888045540796964
3,44,2,Logistic Regression,BARBUNYA,0.9015151515151515
3,44,2,Logistic Regression,BOMBAY,1.0
3,44,2,Logistic Regression,CALI,0.9355828220858896
3,44,2,Logistic Regression,DERMASON,0.926657263751763
3,44,2,Logistic Regression,HOROZ,0.966321243523316
3,44,2,Logistic Regression,SEKER,0.9458128078817734
3,44,2,Logistic Regression,SIRA,0.872865275142315
3,44,2,k-NN,BARBUNYA,0.8901515151515151
3,44,2,k-NN,BOMBAY,1.0
3,44,2,k-NN,CALI,0.9478527607361963
3,44,2,k-NN,DERMASON,0.919605077574048
3,44,2,k-NN,HOROZ,0.9637305699481865
3,44,2,k-NN,SEKER,0.9334975369458128
3,44,2,k-NN,SIRA,0.8519924098671727
3,44,2,Decision Tree,BARBUNYA,0.8863636363636364
3,44,2,Decision Tree,BOMBAY,1.0
3,44,2,Decision Tree,CALI,0.9079754601226994
3,44,2,Decision Tree,DERMASON,0.9097320169252469
3,44,2,Decision Tree,HOROZ,0.9378238341968912
3,44,2,Decision Tree,SEKER,0.9064039408866995
3,44,2,Decision Tree,SIRA,0.8500948766603416
3,44,2,RBF SVM,BARBUNYA,0.9090909090909091
3,44,2,RBF SVM,BOMBAY,1.0
3,44,2,RBF SVM,CALI,0.9539877300613497
3,44,2,RBF SVM,DERMASON,0.926657263751763
3,44,2,RBF SVM,HOROZ,0.966321243523316
3,44,2,RBF SVM,SEKER,0.9458128078817734
3,44,2,RBF SVM,SIRA,0.8747628083491461
3,44,3,Logistic Regression,BARBUNYA,0.9283018867924528
3,44,3,Logistic Regression,BOMBAY,1.0
3,44,3,Logistic Regression,CALI,0.9233128834355828
3,44,3,Logistic Regression,DERMASON,0.9111424541607899
3,44,3,Logistic Regression,HOROZ,0.9430051813471503
3,44,3,Logistic Regression,SEKER,0.9481481481481482
3,44,3,Logistic Regression,SIRA,0.9032258064516129
3,44,3,k-NN,BARBUNYA,0.8867924528301887
3,44,3,k-NN,BOMBAY,1.0
3,44,3,k-NN,CALI,0.9386503067484663
